first_name,last_name,NPI,school_name,graduation_year,degree
Brandy,Yaneev,0458069760,Sakarya University,tcurrey8e@statcounter.com,M.D.
Vaughan,Alliberton,8740215644,National Metallurgical Academy of Ukraine,gservant8f@google.nl,M.D.
Martynne,MacTrustrie,0804118469,Universidad de Morón,kproudler8g@omniture.com,M.D.
Lilith,Rawdales,6453132370,Universidad de Granada,osenescall8h@chicagotribune.com,M.D.
Andrew,Bottinelli,9473000162,University of Northern Washington,bdicker8i@nature.com,M.D.
Jocko,Burnhard,6123749420,Universitat Internacional de Catalunya,dscarff8j@auda.org.au,M.D.
Ky,Hazael,2081037920,George Mason University,ncrake8k@twitter.com,M.D.
Nisse,Mutton,2815572060,Thiel College,tmendus8l@redcross.org,M.D.
Saba,Newson,0761842233,Université Mentouri Constantine,cgrigson8m@aol.com,M.D.
Lita,Denerley,1624934021,Odessa State Academy of Construction and Architecture,ktarte8n@goo.ne.jp,M.D.
Rhoda,Jeune,4503499041,North Eastern Hill University,tarchley8o@imageshack.us,M.D.
Malory,Fairy,5607532658,Russian State University for the Humanities,rphaup8p@cnbc.com,M.D.
Keriann,Bertin,0517813653,Parsons School of Design,mdrever8q@eventbrite.com,M.D.
Dov,Dissman,3542962775,Port Dickson Polytechnic,dmusker8r@blogspot.com,M.D.
Lina,Trenoweth,4037130068,Université de Sidi-Bel-Abbès (Djillali Liabès),adavidovics8s@disqus.com,M.D.
Shelbi,Conahy,5505604110,Osmania University,njanoch8t@economist.com,M.D.
Obed,Dene,8033848154,Aarhus School of Business,folding8u@yelp.com,M.D.
Marla,Miguel,1505044200,North Eastern Hill University,jmatteo8v@cnet.com,M.D.
Nina,Treven,3999490004,"DeVry Institute of Technology, Chicago",emawhinney8w@github.io,M.D.
Angelle,Denacamp,0320994589,University of Louisville,ssheardown8x@deviantart.com,M.D.
Aguste,Ekkel,8362755792,Universidad de Los Andes,rstayt8y@blogs.com,M.D.
Lynelle,Tatam,8930406912,Stanford University,ckemmis8z@zimbio.com,M.D.
Philip,Robbe,3676913345,Aarhus Technical College,ghalsho90@state.tx.us,M.D.
Tammie,Empson,8800207952,Vladimir State University,mdresche91@geocities.jp,M.D.
Ivie,Mulvin,7475706524,Hubert Kairuki Memorial University,psweetenham92@prweb.com,M.D.
Angelica,Ast,2210247446,Mu' tah University,wbroxis93@ameblo.jp,M.D.
Louise,Cudworth,5911112973,Transport and Telecommunication Institute,abaurerich94@answers.com,M.D.
Cinnamon,Haggar,9211918448,I.M. Sechenov Moscow Medical Academy,lbletsoe95@godaddy.com,M.D.
Maurine,Purveys,0062980343,Janus Pannonius University,ctather96@google.com.hk,M.D.
Davon,Culbert,9658191053,Ural State Academy of Mining and Geology,mbish97@wired.com,M.D.
Gaultiero,O'Driscole,9375785084,Shaoguan University,dodempsey98@cyberchimps.com,M.D.
Merv,Brymham,0238657965,Eugene Bible College,aslowey99@arizona.edu,M.D.
Dayna,Twort,2696982910,Technical University of Budapest,obernardy9a@dmoz.org,M.D.
Olive,Allsepp,7699183533,Weber State University,fenriquez9b@w3.org,M.D.
Tiffie,Pirdy,7267330606,University College of Saint-Boniface,osleicht9c@timesonline.co.uk,M.D.
Russell,Glassman,0408510234,Universidad de Matanzas Camilo Cienfuegos,astinson9d@google.nl,M.D.
Bobbie,Dybald,8209242768,Trinity International University,rgritsaev9e@sbwire.com,M.D.
Ab,Dunham,2792742674,Saga University,omquhan9f@phoca.cz,M.D.
Francoise,Pankhurst.,1089995814,Nigerian Defence Academy,ejacklings9g@aboutads.info,M.D.
Ingmar,Mulmuray,5785628651,Sree Chitra Tirunal Institute for Medical Sciences and Technology,clineen9h@virginia.edu,M.D.
Wade,MacMeanma,5581747385,American University,binch9i@acquirethisname.com,M.D.
Benedikta,Churchman,8595280819,"Universidad Laica ""Vicente Rocafuerte"" de Guayaquil",pfullalove9j@yahoo.com,M.D.
Dix,Janaszewski,1953564151,"Institute of Teachers Education, Darul Aman",ndaingerfield9k@mapy.cz,M.D.
Netty,Henlon,0412527561,Southern California College,kmacparlan9l@yahoo.co.jp,M.D.
Shaun,Nelthorpe,4395023363,University of Pittsburgh,hlympany9m@networksolutions.com,M.D.
Zeke,Odam,7002885340,Ecole Nationale Supérieure des Arts et Industries de Strasbourg,qdomoney9n@cpanel.net,M.D.
Ian,McGifford,7350914989,University College of the Fraser Valley,cfranceschino9o@miibeian.gov.cn,M.D.
Marianna,Ternault,8881136856,Polytechnic Institute of Turin,ewaeland9p@odnoklassniki.ru,M.D.
Elroy,Ardley,9943583762,Aomori Public College,chuckle9q@ox.ac.uk,M.D.
Marita,Ellacott,9343151454,Diaconia University of Applied Sciences,fjiroutka9r@spotify.com,M.D.
Donetta,Abraham,3789463159,"University of Agricultural Sciences, Bangalore",agilbeart9s@cnn.com,M.D.
Brok,Cupitt,3482086494,Canisius College,emoors9t@squarespace.com,M.D.
Alden,Tripett,1484717651,Medical University of Sofia,mminton9u@people.com.cn,M.D.
Ferdie,Ayliffe,8070771984,Universidad Santa María Campus Guayaquil,cjardin9v@hao123.com,M.D.
Giulia,Heigl,4356686772,Xiangtan Normal University,lmarke9w@timesonline.co.uk,M.D.
Sergent,Jerg,4302447524,Kagoshima Women's College,gheikkinen9x@typepad.com,M.D.
Iseabal,Liddy,1490869166,Roskilde University,opetricek9y@msn.com,M.D.
Morganne,Dallison,7273621706,Universidad Cuauhtémoc,bcostall9z@tumblr.com,M.D.
Lezley,Treleven,0242214002,Hungarian Academy of Craft and Design,ymallinsona0@un.org,M.D.
Quinn,Gillooly,3821385650,Rheinische Friedrich-Wilhelms Universität Bonn,ekilminstera1@netvibes.com,M.D.
Cayla,Bayly,1542961793,University of Wisconsin - Milwaukee,tpoyzera2@scribd.com,M.D.
Trevar,Arnaldo,7436573020,University of Health and Science,rticksalla3@elpais.com,M.D.
Margarethe,Arntzen,2999378874,Norfolk State University,cbunneya4@homestead.com,M.D.
Kippy,Sotham,1944885390,Ghana Institute of Management and Public Administration (GIMPA),pluciana5@digg.com,M.D.
Audra,Brookz,4757153597,Cranbrook Academy of Art,bbusaina6@webnode.com,M.D.
Cecelia,Roches,5445749053,University of Saint La Salle,ebrometa7@yellowbook.com,M.D.
Hubey,Hamflett,5553063949,St. John's College Maryland,kseberta8@about.com,M.D.
Errol,Durrad,3299320645,Langara College,codella9@ibm.com,M.D.
Tani,Glitherow,8269024465,Higher Colleges of Technology,jblantaa@abc.net.au,M.D.
Nissy,Purdom,0194595889,Olive-Harvey College,fpainswickab@weebly.com,M.D.
Jorgan,Khomin,9583672858,University of Suceava,dlittlewoodac@behance.net,M.D.
Gene,Mackro,0737263806,Universidad Pablo de Olavide,ringramad@desdev.cn,M.D.
Rose,Milstead,4350532102,Canterbury Christ Church University,qhaineyae@cnbc.com,M.D.
Adriaens,Collings,8612763495,Wolaita Sodo University,bingledewaf@godaddy.com,M.D.
Georgina,Schellig,2067895206,Eastern Mennonite University,bstodhartag@ifeng.com,M.D.
Ives,Willox,1431658529,Universidade Federal da Bahia,vsommerlyah@topsy.com,M.D.
Gayleen,Fillan,4958342532,Université de Biskra,aburtonwoodai@theatlantic.com,M.D.
Asher,Danbi,4344885791,"Rasmussen College, Minnesota Campuses",gmcavinaj@abc.net.au,M.D.
Rubie,Jopke,8609043460,SMK Fomra Institute of Technology,hbrothwoodak@amazon.com,M.D.
Arri,Ackermann,7903195441,Vignan University,clafranconial@example.com,M.D.
Lela,Pally,8640861250,National School of Political and Administrative Studies Bucharest,cextillam@skype.com,M.D.
Germana,Calway,8050700925,Roskilde University,gegglestonean@salon.com,M.D.
Fergus,Orrick,8817542679,Mordovian State University,tcurgenvenao@hc360.com,M.D.
Leonhard,Elsmore,0330514881,Akwa Ibom State University of Technology,lspallap@i2i.jp,M.D.
Denyse,Cozzi,9238363994,Addis Ababa University,dauklandaq@ehow.com,M.D.
Saleem,Grimme,8869157539,Central Police University,atilfordar@acquirethisname.com,M.D.
Celestine,Futty,2452628093,"Universiteit Antwerpen, UFSIA",efreakas@businessweek.com,M.D.
Fonzie,Robun,4966853508,North China University of Technology,sroftat@diigo.com,M.D.
Annis,Abba,3038853291,International University in Germany,hlintheadau@va.gov,M.D.
Ranee,Febre,9052994528,Technological University (Magway),echardav@dot.gov,M.D.
Jacquetta,Dakhov,3933010675,Excel College,mshropshireaw@geocities.com,M.D.
Ozzy,Ralfe,4020282412,Cyprus International Institute of Management (CIIM),cperrieax@businessweek.com,M.D.
Valencia,Winchcum,3037443618,Shawnee Community College,spillingay@statcounter.com,M.D.
Virgina,Chupin,4684494373,"Islamic Azad University, Tehran South",jdulyaz@amazon.de,M.D.
Candy,Juett,6793046136,University of Ghana,ltramelb0@bloglines.com,M.D.
Marla,Trueman,4610275910,Taisho University,ymongenotb1@feedburner.com,M.D.
Reggy,Clemont,5991364923,"Cleveland Chiropractic College, Los Angeles",eferrarob2@issuu.com,M.D.
Lou,Treagus,1867394928,Theologische Hochschule Friedensau,pbergeaub3@about.me,M.D.
Dorree,Hardwidge,2503804012,"University of Science, Arts and Technology",jparkinsonb4@seattletimes.com,M.D.
Teresita,Jewkes,8589162788,Ben-Gurion University of the Negev,fdeussb5@microsoft.com,M.D.
Ellary,Ricketts,9016129278,University of North Texas Health Science Center at Fort Worth,hshreenanb6@ucoz.ru,M.D.
Ninnette,Ballach,0038494302,Merkur Internationale FH Karlsruhe,tburburyb7@edublogs.org,M.D.
Nicolas,MacPaike,2267057123,"International University of Fundamental Studies, St. Petersburg",ldixseeb8@pagesperso-orange.fr,M.D.
Michaella,Burness,9567453721,Pontifcia Università Gregoriana,sghidellib9@theguardian.com,M.D.
Gaston,Fitzpatrick,3558632222,University of Fribourg,eguyonba@networksolutions.com,M.D.
Ricoriki,Redgate,2519993871,Busitema University,mcolnettbb@forbes.com,M.D.
Lemuel,Chauvey,3925614427,Orkhon University,kbullebc@wordpress.com,M.D.
Matthias,Priscott,6966367605,University of Zambia,cmarmyonbd@topsy.com,M.D.
Maribelle,Croall,4786901180,Shridhar University,bbonsulbe@amazon.co.jp,M.D.
Arte,Salterne,0221661883,Iowa Wesleyan College,akilfederbf@google.com,M.D.
Lorin,Greeson,6273581444,Tokyo Women's Medial College,gortabg@sphinn.com,M.D.
Mair,Millmoe,1087967872,Universitas Bojonegoro,cgherardibh@123-reg.co.uk,M.D.
Duncan,Stockoe,3147432173,Logistics Engineering University of PLA,vwaylettbi@macromedia.com,M.D.
Tricia,Luckie,1763414329,Yonok University,ialibertibj@nbcnews.com,M.D.
Bev,McKleod,0105322903,Turkish Military Academy,belderfieldbk@free.fr,M.D.
Duke,Deverose,6182487380,American Conservatory of Music,whakonsenbl@sakura.ne.jp,M.D.
Hesther,Macellar,3220671454,Ecole Normale Supérieure de Cachan,pjorgesenbm@goodreads.com,M.D.
Netta,Jennemann,9330683452,Universidad Nacional de Ingeniería,skillwickbn@constantcontact.com,M.D.
Phedra,Goolden,6415018140,Universidad del Bajío,rcoghlanbo@tiny.cc,M.D.
Alix,Rusted,4002482405,Kanto Gakuen University,mloniebp@skype.com,M.D.
Kat,Caslake,5082488562,Jagran Lakecity University,wmossmanbq@yolasite.com,M.D.
Marshal,Martello,3195390361,Soran University,cpeddenbr@github.com,M.D.
Cordelie,Moseley,2242581422,Pomorsk State University,bberlingbs@pen.io,M.D.
Lurline,Sheerin,5084347303,University of Electro-Communications,gpirribt@cdbaby.com,M.D.
Marinna,Duckerin,2209911303,Lincoln University San Francisco,mbroadbentbu@spotify.com,M.D.
Blinny,Rattenberie,1581686382,Siberian State Medical University,tmaddisonbv@pcworld.com,M.D.
Wolfgang,Peek,4592756320,Shandong University of Science and Technology,raleksahkinbw@de.vu,M.D.
Moritz,Mullard,4082573690,Universidad de San Buenaventura Medellin,hlightollerbx@ted.com,M.D.
Tedmund,Peckham,3274698784,Pontifícia Universidade Católica de Minas Gerais,dclementucciby@economist.com,M.D.
Patrica,Leyrroyd,5583334363,Sunmoon University,blimbertbz@hao123.com,M.D.
Ethelred,Jacombs,8603564876,University Of Dubai,sdurkinc0@myspace.com,M.D.
Felisha,Abbotts,5901153812,Tel Aviv University,fexleyc1@google.nl,M.D.
Annabal,Probbings,2724280199,Daebul University,dedmondsonc2@engadget.com,M.D.
Harland,Atwel,8384460841,Fachhochschule Bielefeld,dharkc3@msu.edu,M.D.
Edouard,Dibb,8419005819,Universidad Agroforestal Fernando A.Meriño,cwignallc4@tripod.com,M.D.
Dale,Collibear,1687900337,Shannon College of Hotel Management,kjarrettec5@weebly.com,M.D.
Sarene,Zebedee,5497157297,Central University for Nationalities,mdurtnallc6@stumbleupon.com,M.D.
Cleve,Matteau,3853713084,Northern Institute of Technology Management (NIT),wharbordc7@intel.com,M.D.
Josepha,Dulen,8179915778,Biola University,fpolendinec8@smugmug.com,M.D.
Milzie,Vanacci,4701872040,Hiroshima City University,rdrakesc9@aol.com,M.D.
Michel,Prandi,7049246921,Toyama University of International Studies,ascutchingca@dot.gov,M.D.
Corrianne,Craisford,4869605872,Ulsan University,kyannonicb@ucla.edu,M.D.
Judie,Corragan,8718212743,Ecole Nationale des Sciences Géographiques,thyamcc@rambler.ru,M.D.
Ardra,Agar,1831256479,Pädagogische Hochschule Zürich (Zurich School of Education),erivelescd@hc360.com,M.D.
Fredrick,Hubbucke,3054037185,Liepaja Pedagogical Higher School,sdarrigrandce@statcounter.com,M.D.
Chuck,Tingle,7344445298,Universitas Gunadarma,ndaviocf@canalblog.com,M.D.
Roxanna,Braniff,2653744104,Universidad de Concepción del Uruguay,bmcanellyecg@ycombinator.com,M.D.
Garnette,Spadari,3455200745,College of New Caledonia,jturveych@psu.edu,M.D.
Anabel,Itzik,8293896841,Helsinki University of Technology,battocci@shutterfly.com,M.D.
Lind,Bracher,5984020769,Universidad del Sagrado Corazon,ktoppcj@nbcnews.com,M.D.
Robbie,Vipan,4408586110,Sahand University of Technology,pcaldairouck@samsung.com,M.D.
Maddy,Andree,2400730555,Universidade Federal do Espírito Santo,fhumphriescl@ebay.co.uk,M.D.
Robenia,Gilhooly,5935594722,Arabian Gulf University,fglendiningcm@columbia.edu,M.D.
Arly,Ajam,6787560788,Capital University of Medical Sciences,djonssoncn@dailymotion.com,M.D.
Fanechka,MacAscaidh,1784464848,Utsunomiya University,ryakubovicsco@twitter.com,M.D.
Laurena,Braidman,0359962181,Universidad Carlos III de Madrid,pdumigancp@jiathis.com,M.D.
Alverta,Spinks,0418262446,Tenri University,mcreeghancq@hud.gov,M.D.
Karoly,McLorinan,5518415508,Fachhochschulstudiengänge Wels,unoblettcr@mysql.com,M.D.
Panchito,Hundell,3152559577,University of Maryland University College,abinescs@npr.org,M.D.
Janeen,Walhedd,1318022193,Instituto Superior Politécnico Gaya,ifosbraeyct@about.com,M.D.
Loralee,Rottery,9300978942,Université Blaise Pascal (Clermont-Ferrand II),aduetschenscu@zimbio.com,M.D.
Katerina,Jansema,0425479188,University of Akureyri,dminillocv@stumbleupon.com,M.D.
Richart,Voas,8117774542,Reitaku University,idevanycw@apple.com,M.D.
Esdras,Grimmolby,3088034197,Tay Nguyen University,kgalbrethcx@xrea.com,M.D.
Xavier,Yeldham,1662892039,Vaasa University of Applied Sciences,hcastcy@archive.org,M.D.
Alexandro,McKevitt,2693198704,Alaska Pacific University,lsweetlovecz@springer.com,M.D.
Dane,Birdis,0849244617,University of Kufa,kcronkd0@sourceforge.net,M.D.
Kaylyn,Boom,1039656927,Universidad Simón Bolivar,kiozefovichd1@cyberchimps.com,M.D.
Karia,Daborn,1383278415,Sichuan International Studies University,glewerd2@behance.net,M.D.
Fleur,Steely,1891834592,Université de Savoie,jgrayleyd3@usa.gov,M.D.
Marshall,De la Eglise,4014188493,Dr. D.Y. Patil University,gmalecd4@xrea.com,M.D.
Gavin,Kerbey,9444803023,"Concordia University, Austin",grushbyd5@slashdot.org,M.D.
Madlen,Dufaire,1315008289,Ecole Nationale Supérieure de Chimie de Clermont-Ferrand,lbillamd6@wikimedia.org,M.D.
Hetty,Bullin,2776868839,Barber-Scotia College,vbellhoused7@exblog.jp,M.D.
Cassey,Braganca,0950708682,Narsee Monjee Institute of Management Studies,aalleynd8@loc.gov,M.D.
Padraic,Jaume,8187990236,The College of Westchester,nabrahmovicid9@wunderground.com,M.D.
Avivah,Gligoraci,6297715769,Bezalel Academy of Art and Design,ujewerda@umn.edu,M.D.
Duke,Guiness,4232895191,Rakuno Gakuen University,vbyromdb@bbc.co.uk,M.D.
Orelee,Haddrell,1798477564,Naval Postgraduate School,npavelkadc@google.com,M.D.
Shaun,Manjin,4371174744,Andong National University,djostdd@google.co.jp,M.D.
Alleen,Gifford,3267657024,Our Lady of Fatima University,bpinchonde@zdnet.com,M.D.
Tabor,Danelutti,4571188919,Ecole Supérieure de Commerce et Management,omccumskaydf@sohu.com,M.D.
Lodovico,Beardon,6754683945,Universitas Indonesia,ftimbridgedg@bing.com,M.D.
Lorie,Tomlinson,3840263980,New England College of Optometry,oabramdh@discuz.net,M.D.
Jobie,Kilday,5269221810,"Universidad de Puerto Rico, Utuado",wcranedi@stanford.edu,M.D.
Gerianna,Tregidga,4382740339,University of the Incarnate World,awilflingdj@google.cn,M.D.
Burr,Suttaby,3653644135,California School of Professional Psychology - Fresno,bniscodk@4shared.com,M.D.
Nate,Laidlow,0822837102,Sudan University for Science and Technology,rirelanddl@reverbnation.com,M.D.
Christabel,Muehle,2635326207,Hochschule für Politik (HFP),havramovichdm@nifty.com,M.D.
Padgett,Carlon,2290403172,Medical Academy Ludwik Rydygier in Bydgoszcz,dblanketdn@topsy.com,M.D.
Jobye,Nathan,1242997695,National University of Kiev-Mohyla Academy,rmorillasdo@intel.com,M.D.
Buiron,Broadway,4418777318,Rajshahi University of Engineering and Technology,cdanedp@plala.or.jp,M.D.
Adler,Eadmeades,5451465398,"Institut National de la Recherche Scientifique, Université du Québec",jkobudq@ibm.com,M.D.
Teddi,Markwick,2334278564,Universidad Privada del Este,oavesdr@hubpages.com,M.D.
Dillon,Chatain,2076572457,Instituto Superior Politécnico José Antonio Echeverría,ldobinsonds@blog.com,M.D.
Korney,Capron,1258430630,St. Louis University,ngoulstonedt@miibeian.gov.cn,M.D.
Jeniece,Cornelius,6129417713,Louisiana State University at Eunice,lconndu@purevolume.com,M.D.
Annalise,Mankor,7912721363,"Davenport College of Business, Grand Rapids",sduxbarrydv@berkeley.edu,M.D.
Fransisco,Fisbey,4003589343,Aomori University of Health and Welfare,czamboniaridw@delicious.com,M.D.
Brigitte,Gabrieli,1229100660,National Taichung Teachers College,mmedlicottdx@npr.org,M.D.
Patsy,Peaden,6278548615,Latvian University of Agriculture,gdreverdy@cloudflare.com,M.D.
Bartholomew,Twelvetree,8653009183,Firat (Euphrates) University,eoakleydz@trellian.com,M.D.
Hobey,Maher,3314313276,South Dakota State University,hparrame0@topsy.com,M.D.
Aubrey,Clevely,3531061798,The Manchester Metropolitan University,peddisone1@si.edu,M.D.
Tonia,Guiel,6285458642,Northern Arizona University,mmanache2@goodreads.com,M.D.
Diane,Maginn,9878050912,Universidad de San Andres,lsonghurste3@unicef.org,M.D.
Janelle,Davenport,7855327584,University of Ulster,mphillotte4@spiegel.de,M.D.
Simonne,Christley,4564037501,Bluefield State College,mscrigmoure5@youku.com,M.D.
Chrissie,Higford,4070783660,Texas Southern University,mkeenlaysidee6@home.pl,M.D.
Cleo,Beaushaw,9075745176,Pavlodar University,jkiddse7@ameblo.jp,M.D.
Liva,Cline,5012024974,Universitas Ma Chung,afeaste8@cnbc.com,M.D.
Duff,Holyard,6169972033,Caleb University,scradducke9@blogger.com,M.D.
Marlee,Orry,6221089832,Groupe Sup de Co Montpellier,aredonea@guardian.co.uk,M.D.
Bethena,Swainston,1065893191,University of Texas at San Antonio,ckirsopeb@nymag.com,M.D.
Harcourt,Taffley,6063662731,Don Mariano Marcos Memorial State University,aorrec@foxnews.com,M.D.
Domingo,Keaveny,1597850187,Universidad Pontificia Bolivariana,smittened@un.org,M.D.
Aurthur,Humburton,1893603520,Kerala University of Fisheries and Ocean Sciences,voquirkee@apache.org,M.D.
Fionna,Gert,7473462687,Hanshin University,scarpef@statcounter.com,M.D.
Dorotea,Jakubovski,7025549576,Maxim Gorky Institute of Literature,cclohiseyeg@harvard.edu,M.D.
Odilia,Groll,6607519261,Monash University,ggradwelleh@reference.com,M.D.
Vanna,Tisor,2047782147,Cyprus College,bzecchiniei@forbes.com,M.D.
Charmain,Flea,2335800051,Hanoi Medical University,dselburnej@cargocollective.com,M.D.
Chalmers,Skyrm,7857315885,Escuela de Arquitectura y Diseño,mdormerek@pen.io,M.D.
Rufe,Sedworth,2914230818,Institute of Accountancy Arusha,hquarrellel@who.int,M.D.
Zollie,Strangward,4059395536,Universitas Muhammadiyah Magelang,mgouthierem@hp.com,M.D.
Paxon,Chastanet,1110382073,Greenville College,nperrenen@webnode.com,M.D.
Martita,Peasee,1067006788,Ahlulbait International University,ofoxeneo@dmoz.org,M.D.
Eddy,Salzburg,7995049358,Universidad Catolica de Temuco,lbennetonep@globo.com,M.D.
Garik,Kershow,8392610849,Wenzhou Medical College,afidgineq@biglobe.ne.jp,M.D.
Oralee,Pragnall,0393812774,Wuyi University,bhurcombeer@cafepress.com,M.D.
Bettye,Farenden,0053015207,Iceland Academy of the Arts,flebbernes@fda.gov,M.D.
Cleveland,Novichenko,8524732202,Lane College,mgregoryet@apple.com,M.D.
Ruby,Bath,3431218679,University of Nova Gorica,sstrathdeeeu@unicef.org,M.D.
Smitty,O'Hartnedy,0120954435,College of Computer Science in Lodz,dgrouvelev@gov.uk,M.D.
Marnia,Pepin,3914371749,Indira Gandhi Agricultural University,sraitieew@ed.gov,M.D.
Alphonso,Skellion,0722291973,University of the Southwest,tyoslowitzex@addthis.com,M.D.
Jayne,Stanford,9674935967,University of King's College,hcorkishey@yandex.ru,M.D.
Elvira,Mouse,5888024694,Centre d'Etudes Supérieures Industrielles Paris,chayballez@dailymail.co.uk,M.D.
Alec,Sollas,0544183649,"City University of New York, Medgar Evers College",nhedgesf0@usatoday.com,M.D.
Afton,Quayle,6676168707,Siauliai University,dgraysmarkf1@taobao.com,M.D.
Patricia,Weben,4105722700,Bogazici University,yhatchellf2@themeforest.net,M.D.
Ly,MacVicar,8735784962,Segi University College,nloosmoref3@plala.or.jp,M.D.
Alfred,Childs,6631412293,Universitas Kristen Indonesia Tomohon,fredf4@blogtalkradio.com,M.D.
Rowe,Daulton,9268878763,Perm State Pharmaceutical Academy,bbascombef5@yale.edu,M.D.
Aundrea,Keenlyside,2225887047,Universidad México Americana del Norte,npaolinof6@github.io,M.D.
Malissa,Dobie,7329346977,Royal Danish Academy of Music,cmcilvaneyf7@woothemes.com,M.D.
Estella,Cortez,9326646025,University of Minnesota - Duluth,qattof8@parallels.com,M.D.
Augusta,Yon,7714899778,Fujian University of Traditional Chinese Medicine,tkeppf9@fotki.com,M.D.
Jonas,Lehon,5743580006,Armstrong University,sfliegerfa@shutterfly.com,M.D.
Howie,O'Henery,1699710619,Tokyo University of Mercantile Marine,gernkefb@unesco.org,M.D.
Margy,Caitlin,6646117284,Universidad de Managua (U de M),jpirdyfc@slideshare.net,M.D.
Brewer,Lias,9907182656,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,fmapledoorefd@eventbrite.com,M.D.
Arin,Longthorn,2911636015,Converse College,gjoliffefe@1und1.de,M.D.
Rolando,Radki,0704078880,Maxim Gorky Institute of Literature,olawlanff@fc2.com,M.D.
Jean,Chezelle,5910967746,Alahgaff University,dlamportfg@wikimedia.org,M.D.
Bourke,Kelcher,6157562781,Graduate School of Business Administration Zurich (GSBA Zurich),ndesouzafh@nationalgeographic.com,M.D.
Alexis,Duchatel,4661071719,Universidade Regional do Cariri,jdefriesfi@prweb.com,M.D.
Arri,Cerith,3490696336,Howard Payne University,dpodburyfj@bluehost.com,M.D.
Ciel,Cappleman,7147537114,Central America Health Sciences University (Belize Medical College),cislipfk@taobao.com,M.D.
Sasha,Dillet,5922092812,Jumeira University,eculwenfl@wikimedia.org,M.D.
Maressa,Clarkin,9598638693,"Universidad de Guanajuato, Campus León",wsaladinofm@over-blog.com,M.D.
Briano,Barthelet,9985719786,Caucasus University,eroachfn@cnbc.com,M.D.
Lyman,Petch,4959772158,Jobu University,lstealeyfo@reference.com,M.D.
Katuscha,Hankinson,7459590231,University of Botswana,ngorssefp@twitpic.com,M.D.
Prince,Tinkham,5808297257,National University of Kaohsiung,mseamonfq@bbc.co.uk,M.D.
Samaria,Slipper,5162661058,Alfred University,leplettfr@goo.gl,M.D.
Ernestus,Grelka,6734301958,Université de la Méditerranée (Aix Marseille II),dpallyfs@simplemachines.org,M.D.
Evania,Ruggs,8280153497,University of Food Technology,fkemmerft@archive.org,M.D.
Seth,Phippin,7888350801,Instituto de Enseñanza Superior Oteima,slevisonfu@nymag.com,M.D.
Garek,Andriveaux,6538300227,Mozyr State Pedagogical Institute,jsinncockfv@theatlantic.com,M.D.
Bee,Koppeck,4539616102,Universität Trier,mjohnssonfw@google.co.uk,M.D.
Lauree,Halsho,2572783916,"City University of New York, School of Law at Queens College",cbaggarleyfx@biglobe.ne.jp,M.D.
Carry,Rousby,3910038816,University of Dammam,bmohammedfy@va.gov,M.D.
Ernest,Gisborne,1164206443,Fisher College,hticklefz@purevolume.com,M.D.
Kelcie,Roskruge,7389956135,Universidad Pontificia Bolivariana,cpitkeathleyg0@yahoo.com,M.D.
Evita,Gritsunov,4037920190,Eastern Connecticut State University,amawdittg1@e-recht24.de,M.D.
Emmalee,Hearn,3552908145,Krishna University,mjeffcoateg2@netvibes.com,M.D.
Ginger,Fulmen,0211496081,Finance Academy,lschimonekg3@slashdot.org,M.D.
Auroora,Scimonelli,2730564101,Universitas Bakrie,jgeddisg4@sun.com,M.D.
Brett,Vaugham,8904255325,Tottori University of Environmental Studies,arikelg5@loc.gov,M.D.
Saleem,Androlli,0525803807,Azerbaijan University ol Languages,scunninghamg6@netscape.com,M.D.
Anselma,Stronach,1053627920,Johore Bharu Primeir Polytechnic,wmcnickleg7@virginia.edu,M.D.
Fannie,Coburn,4687390331,UNESCO-IHE Institute for Water Education,mlindberghg8@craigslist.org,M.D.
Dell,Jertz,6765949437,American University of Afghanistan,ddufferg9@ox.ac.uk,M.D.
Rivalee,Cicconetti,8846736419,Wageningen University,emewhirterga@wufoo.com,M.D.
Andi,Diprose,6839638235,City University College of Science and Technology,smcgeegb@indiatimes.com,M.D.
Chantalle,Obeney,3517223859,"University of Maine, Machias",lprobertgc@lulu.com,M.D.
Merry,Magne,1663050155,Universidad de Holguín,acovinogd@accuweather.com,M.D.
Baird,Walworche,2506404694,Ecole Nationale Supérieure des Mines d'Alès,jplumptrege@who.int,M.D.
Jeralee,Longworthy,3870230169,Jikei University School of Medicine,edommgf@mac.com,M.D.
Janetta,Stockdale,8903932595,Miami Dade College,nmurisongg@baidu.com,M.D.
Osbourn,Donaher,3548726984,"Universidad Nacional Experimental ""Francisco de Miranda""",cflowerdengh@blinklist.com,M.D.
Desiree,Quinsee,8665587128,Wagner College,nkittemangi@deliciousdays.com,M.D.
Vivianne,Innman,1709404426,"Johnson & Wales University, Charleston",cphantgj@icq.com,M.D.
Evy,Birnie,3853627595,St. Clair College,cpennicardgk@msu.edu,M.D.
Luther,Stather,8225902939,Seoul National University of Education,caltigl@slashdot.org,M.D.
Alden,Broy,9159223766,Regis College,ihectorgm@bandcamp.com,M.D.
Carolann,Laurence,1141858053,Nagoya Institute of Technology,jfillangn@dropbox.com,M.D.
Colby,Moylan,9437787751,"Universidad Técnica ""Federico Santa María""",acourtgo@europa.eu,M.D.
Kenneth,Colliford,0704371235,Capital University of Economics and Business,jhigbingp@icio.us,M.D.
