Conference_name,Speaker,Attendee_list,conference_date,conference_llocation
Assumption University,"[{""first_name"":""Simonne"",""last_name"":""Christley"",""NPI"":""4564037501""}]","[{""first_name"":""Darcey"",""last_name"":""Bugg"",""NPI"":""3809560022""},{""first_name"":""Dell"",""last_name"":""Jertz"",""NPI"":""6765949437""},{""first_name"":""Tobiah"",""last_name"":""Slora"",""NPI"":""1224777417""},{""first_name"":""Anabel"",""last_name"":""Itzik"",""NPI"":""8293896841""}]",4/2/2019,Zarechnyy
"Fachhochschule Hildesheim/Holzminden/Göttingen, Hochschule für angewandte Wissenschaft und Kunst","[{""first_name"":""Annamaria"",""last_name"":""Wethered"",""NPI"":""5925516559""}]","[{""first_name"":""Abelard"",""last_name"":""Rodie"",""NPI"":""2453494945""},{""first_name"":""Norbert"",""last_name"":""Beyn"",""NPI"":""7868420863""},{""first_name"":""Georgina"",""last_name"":""Schellig"",""NPI"":""2067895206""}]",11/18/2018,Sollefteå
Duluth Business University,"[{""first_name"":""Terencio"",""last_name"":""Astell"",""NPI"":""6851194791""}]","[{""first_name"":""Fanechka"",""last_name"":""MacAscaidh"",""NPI"":""1784464848""},{""first_name"":""Bartholomew"",""last_name"":""Twelvetree"",""NPI"":""8653009183""},{""first_name"":""Livy"",""last_name"":""Vasilischev"",""NPI"":""4489726945""},{""first_name"":""Theodosia"",""last_name"":""Janoschek"",""NPI"":""1900519798""},{""first_name"":""Morgun"",""last_name"":""Westmacott"",""NPI"":""8471573857""}]",8/25/2019,Tupanciretã
Minhaj University Lahore,"[{""first_name"":""Aubrey"",""last_name"":""Clevely"",""NPI"":""3531061798""}]","[{""first_name"":""Beltran"",""last_name"":""Kasbye"",""NPI"":""7162880134""},{""first_name"":""Gratia"",""last_name"":""Houlden"",""NPI"":""1842183648""},{""first_name"":""Violet"",""last_name"":""Alecock"",""NPI"":""7086233765""}]",7/8/2019,Tanda
Drury College,"[{""first_name"":""Leelah"",""last_name"":""Cann"",""NPI"":""2752432445""}]","[{""first_name"":""Willa"",""last_name"":""Beart"",""NPI"":""1239424973""},{""first_name"":""Jocko"",""last_name"":""Burnhard"",""NPI"":""6123749420""},{""first_name"":""Carlie"",""last_name"":""Breese"",""NPI"":""5143994675""},{""first_name"":""Milka"",""last_name"":""Shadfourth"",""NPI"":""9593022589""},{""first_name"":""Ly"",""last_name"":""MacVicar"",""NPI"":""8735784962""}]",8/26/2019,Kardamás
Regis University,"[{""first_name"":""Salomo"",""last_name"":""Purple"",""NPI"":""4474315367""}]","[{""first_name"":""Gusty"",""last_name"":""Tippin"",""NPI"":""2061416837""},{""first_name"":""Ly"",""last_name"":""MacVicar"",""NPI"":""8735784962""},{""first_name"":""Myrlene"",""last_name"":""Gurery"",""NPI"":""2313047911""},{""first_name"":""Marlie"",""last_name"":""Charlo"",""NPI"":""3343410578""}]",2/27/2019,Hualingang
Peru State College,"[{""first_name"":""Chickie"",""last_name"":""Sendall"",""NPI"":""5882901839""}]","[{""first_name"":""Janina"",""last_name"":""Di Napoli"",""NPI"":""8809590813""},{""first_name"":""Tab"",""last_name"":""Thowless"",""NPI"":""0784719691""},{""first_name"":""Leandra"",""last_name"":""Rubes"",""NPI"":""5900482332""},{""first_name"":""Shaine"",""last_name"":""Tabord"",""NPI"":""2725197791""},{""first_name"":""Clare"",""last_name"":""Gurrado"",""NPI"":""7823301016""}]",1/7/2019,Virginia Beach
University of Rousse,"[{""first_name"":""Ellette"",""last_name"":""Pass"",""NPI"":""2693293162""}]","[{""first_name"":""Willa"",""last_name"":""Beart"",""NPI"":""1239424973""},{""first_name"":""Ethelind"",""last_name"":""Lusher"",""NPI"":""3374299571""},{""first_name"":""Breanne"",""last_name"":""Scemp"",""NPI"":""5340844811""}]",11/18/2018,Chepo
Universitas Bakrie,"[{""first_name"":""Marcellus"",""last_name"":""McGarrity"",""NPI"":""5499158770""}]","[{""first_name"":""Ivan"",""last_name"":""Corsar"",""NPI"":""7711023774""},{""first_name"":""Priscella"",""last_name"":""Oxterby"",""NPI"":""3411372559""},{""first_name"":""Jobie"",""last_name"":""Kilday"",""NPI"":""5269221810""},{""first_name"":""Shepherd"",""last_name"":""Le Grice"",""NPI"":""7578435884""}]",5/8/2019,Illapel
St. Clair College,"[{""first_name"":""Vaughan"",""last_name"":""Aldwich"",""NPI"":""7440411498""}]","[{""first_name"":""Blinny"",""last_name"":""Rattenberie"",""NPI"":""1581686382""},{""first_name"":""Boothe"",""last_name"":""Silverthorne"",""NPI"":""1419558978""},{""first_name"":""Fonzie"",""last_name"":""Robun"",""NPI"":""4966853508""}]",1/1/2019,Banepa
Universidad de Chile,"[{""first_name"":""Dale"",""last_name"":""Collibear"",""NPI"":""1687900337""}]","[{""first_name"":""Ernestus"",""last_name"":""Grelka"",""NPI"":""6734301958""},{""first_name"":""Rowe"",""last_name"":""Daulton"",""NPI"":""9268878763""},{""first_name"":""Alyss"",""last_name"":""Craven"",""NPI"":""3107937762""}]",3/31/2019,Fanzhen
Al-Farabi Kazakh National University,"[{""first_name"":""Phedra"",""last_name"":""Goolden"",""NPI"":""6415018140""}]","[{""first_name"":""Garik"",""last_name"":""Kershow"",""NPI"":""8392610849""},{""first_name"":""Tadio"",""last_name"":""Littell"",""NPI"":""2380819815""},{""first_name"":""Anestassia"",""last_name"":""Faivre"",""NPI"":""6241457489""}]",4/9/2019,Łękawica
"Institute of Teachers Education, Keningau","[{""first_name"":""Lea"",""last_name"":""Coulman"",""NPI"":""0647118076""}]","[{""first_name"":""Rossy"",""last_name"":""Cardis"",""NPI"":""8177673084""},{""first_name"":""Arin"",""last_name"":""Longthorn"",""NPI"":""2911636015""},{""first_name"":""Ruby"",""last_name"":""Bath"",""NPI"":""3431218679""}]",12/15/2018,Al Ḩumaydāt
Martin Luther College,"[{""first_name"":""Danie"",""last_name"":""McClintock"",""NPI"":""9335408220""}]","[{""first_name"":""Urson"",""last_name"":""Dykas"",""NPI"":""6061763980""},{""first_name"":""Sharia"",""last_name"":""Blincowe"",""NPI"":""6727825513""},{""first_name"":""Esdras"",""last_name"":""Grimmolby"",""NPI"":""3088034197""},{""first_name"":""Eldin"",""last_name"":""McLae"",""NPI"":""7496386340""},{""first_name"":""Adara"",""last_name"":""Brockton"",""NPI"":""5703531667""}]",6/30/2019,Xiaping
University of Venda,"[{""first_name"":""Saba"",""last_name"":""Newson"",""NPI"":""0761842233""}]","[{""first_name"":""Becca"",""last_name"":""Ambroix"",""NPI"":""8212350312""},{""first_name"":""Trixie"",""last_name"":""Shoosmith"",""NPI"":""0814026133""},{""first_name"":""Ranee"",""last_name"":""Febre"",""NPI"":""9052994528""},{""first_name"":""Borden"",""last_name"":""Bareham"",""NPI"":""6563491553""},{""first_name"":""Deck"",""last_name"":""Jiggen"",""NPI"":8548026855}]",4/17/2019,La Virgen
National American University,"[{""first_name"":""Nate"",""last_name"":""Laidlow"",""NPI"":""0822837102""}]","[{""first_name"":""Torrie"",""last_name"":""Eppson"",""NPI"":""9528731074""},{""first_name"":""Vanna"",""last_name"":""Tisor"",""NPI"":""2047782147""},{""first_name"":""Karisa"",""last_name"":""Yuryshev"",""NPI"":""2871961360""},{""first_name"":""Harry"",""last_name"":""Braundt"",""NPI"":""6696640363""}]",1/31/2019,Jiangchuan
Gaziosmanpasa University,"[{""first_name"":""Ileane"",""last_name"":""Ivanenko"",""NPI"":""0111145600""}]","[{""first_name"":""Malissa"",""last_name"":""Dobie"",""NPI"":""7329346977""},{""first_name"":""Jobie"",""last_name"":""Frisby"",""NPI"":""7501549400""},{""first_name"":""Germana"",""last_name"":""Calway"",""NPI"":""8050700925""},{""first_name"":""Liv"",""last_name"":""Gilmore"",""NPI"":""0268708940""},{""first_name"":""Kare"",""last_name"":""Insall"",""NPI"":""7875570840""}]",5/3/2019,Västerås
Barcelona Graduate School of Economics,"[{""first_name"":""Madalyn"",""last_name"":""Swithenby"",""NPI"":""1643210017""}]","[{""first_name"":""Torrie"",""last_name"":""Kas"",""NPI"":""2983937348""},{""first_name"":""Erl"",""last_name"":""Arkwright"",""NPI"":""6943013432""},{""first_name"":""Staford"",""last_name"":""Fidal"",""NPI"":""9054307080""},{""first_name"":""Babs"",""last_name"":""Downes"",""NPI"":""2743207280""}]",12/6/2018,Zhoutie
"Allahabad Agricultural Institute, Deemed University","[{""first_name"":""Marlo"",""last_name"":""Jenoure"",""NPI"":""5739509440""}]","[{""first_name"":""Clare"",""last_name"":""Gurrado"",""NPI"":""7823301016""},{""first_name"":""Alaric"",""last_name"":""Bryce"",""NPI"":""9063999194""},{""first_name"":""Town"",""last_name"":""Tampin"",""NPI"":""4829588411""},{""first_name"":""Martita"",""last_name"":""Peasee"",""NPI"":""1067006788""},{""first_name"":""Kippie"",""last_name"":""Auger"",""NPI"":""6923485118""}]",3/8/2019,Kobarid
Universität Hamburg,"[{""first_name"":""Catriona"",""last_name"":""Riatt"",""NPI"":""1490008179""}]","[{""first_name"":""Chrotoem"",""last_name"":""Tissier"",""NPI"":""0138032904""},{""first_name"":""Raynell"",""last_name"":""Morin"",""NPI"":""9106007465""},{""first_name"":""Saleem"",""last_name"":""Grimme"",""NPI"":""8869157539""},{""first_name"":""Alastair"",""last_name"":""Standon"",""NPI"":""3784981348""},{""first_name"":""Lilith"",""last_name"":""Rawdales"",""NPI"":""6453132370""}]",6/12/2019,Portland
University of Udine,"[{""first_name"":""Denyse"",""last_name"":""Cozzi"",""NPI"":""9238363994""}]","[{""first_name"":""Alaine"",""last_name"":""Le Houx"",""NPI"":""6586469686""},{""first_name"":""Godfrey"",""last_name"":""Casa"",""NPI"":""8828863900""},{""first_name"":""Renate"",""last_name"":""Garthland"",""NPI"":""5338463008""},{""first_name"":""Germana"",""last_name"":""Calway"",""NPI"":""8050700925""}]",12/22/2018,Kalchevaya
University of Maryland University College,"[{""first_name"":""Nisse"",""last_name"":""Mutton"",""NPI"":""2815572060""}]","[{""first_name"":""Tricia"",""last_name"":""Luckie"",""NPI"":""1763414329""},{""first_name"":""Chickie"",""last_name"":""Chivers"",""NPI"":""7366119644""},{""first_name"":""Dacia"",""last_name"":""Farrear"",""NPI"":""7478060420""},{""first_name"":""Aguistin"",""last_name"":""Spatig"",""NPI"":""7114485239""},{""first_name"":""Alejoa"",""last_name"":""Winkell"",""NPI"":""7299686015""}]",7/3/2019,Bielice
Pedagogical University of Kielce,"[{""first_name"":""Rosco"",""last_name"":""Perkins"",""NPI"":""6205331853""}]","[{""first_name"":""Shep"",""last_name"":""Hainning"",""NPI"":""3935642784""},{""first_name"":""Vaughan"",""last_name"":""Alliberton"",""NPI"":""8740215644""},{""first_name"":""Spenser"",""last_name"":""Jenkerson"",""NPI"":""1924542218""}]",11/23/2018,Tlutup
Olabisi Onabanjo University ,"[{""first_name"":""Arri"",""last_name"":""Ackermann"",""NPI"":""7903195441""}]","[{""first_name"":""Cleveland"",""last_name"":""Novichenko"",""NPI"":""8524732202""},{""first_name"":""Grady"",""last_name"":""Bagster"",""NPI"":""5563497097""},{""first_name"":""Elle"",""last_name"":""Cleyne"",""NPI"":""3488533972""},{""first_name"":""Devin"",""last_name"":""Bloss"",""NPI"":""1412701643""}]",5/31/2019,Cabra Figa
Indiana University - East,"[{""first_name"":""Marshall"",""last_name"":""De la Eglise"",""NPI"":""4014188493""}]","[{""first_name"":""Shanda"",""last_name"":""Fasham"",""NPI"":""8082475544""},{""first_name"":""Colby"",""last_name"":""Moylan"",""NPI"":""9437787751""},{""first_name"":""Alden"",""last_name"":""Tripett"",""NPI"":""1484717651""},{""first_name"":""Abelard"",""last_name"":""Rodie"",""NPI"":""2453494945""},{""first_name"":""Alverta"",""last_name"":""Spinks"",""NPI"":""0418262446""}]",5/5/2019,Loacan
Otto-Friedrich Universität Bamberg,"[{""first_name"":""Carleton"",""last_name"":""Servis"",""NPI"":""1744868565""}]","[{""first_name"":""Auroora"",""last_name"":""Scimonelli"",""NPI"":""2730564101""},{""first_name"":""Marshall"",""last_name"":""De la Eglise"",""NPI"":""4014188493""},{""first_name"":""Clarinda"",""last_name"":""Kellaway"",""NPI"":""4561212906""},{""first_name"":""Petunia"",""last_name"":""Scotfurth"",""NPI"":""9591791461""},{""first_name"":""Robbie"",""last_name"":""Vipan"",""NPI"":""4408586110""}]",6/20/2019,Ketapang
Carroll College Waukesha,"[{""first_name"":""Lorin"",""last_name"":""Greeson"",""NPI"":""6273581444""}]","[{""first_name"":""Rivalee"",""last_name"":""Cicconetti"",""NPI"":""8846736419""},{""first_name"":""Kristen"",""last_name"":""Pretorius"",""NPI"":""3674094150""},{""first_name"":""Harp"",""last_name"":""Valentinetti"",""NPI"":""8173170347""}]",8/25/2019,Xibali
Niagara University,"[{""first_name"":""Chrissie"",""last_name"":""Higford"",""NPI"":""4070783660""}]","[{""first_name"":""Tadio"",""last_name"":""Littell"",""NPI"":""2380819815""},{""first_name"":""Chrissie"",""last_name"":""Higford"",""NPI"":""4070783660""},{""first_name"":""Irwin"",""last_name"":""Hymers"",""NPI"":""8392678311""}]",8/2/2019,Magang
Pebble Hills University,"[{""first_name"":""Melinda"",""last_name"":""Bernakiewicz"",""NPI"":""2649292431""}]","[{""first_name"":""Lita"",""last_name"":""Denerley"",""NPI"":""1624934021""},{""first_name"":""Cele"",""last_name"":""Robertson"",""NPI"":""3299175882""},{""first_name"":""Merry"",""last_name"":""Magne"",""NPI"":""1663050155""},{""first_name"":""Mickey"",""last_name"":""Label"",""NPI"":""1740187172""}]",11/19/2018,Tol’yatti
European University,"[{""first_name"":""Alden"",""last_name"":""Tripett"",""NPI"":""1484717651""}]","[{""first_name"":""Maressa"",""last_name"":""Clarkin"",""NPI"":""9598638693""},{""first_name"":""Valentin"",""last_name"":""Coplestone"",""NPI"":""6314554896""},{""first_name"":""Annalise"",""last_name"":""Mankor"",""NPI"":""7912721363""},{""first_name"":""Orton"",""last_name"":""Alvin"",""NPI"":2261946848}]",3/24/2019,Miracema
Libera Università degli Studi di Scienze Umane e Tecnologiche,"[{""first_name"":""Ozzy"",""last_name"":""Livings"",""NPI"":""3110594684""}]","[{""first_name"":""Bram"",""last_name"":""Degli Abbati"",""NPI"":""8515315831""},{""first_name"":""Adler"",""last_name"":""Eadmeades"",""NPI"":""5451465398""},{""first_name"":""Bartie"",""last_name"":""Greenhalgh"",""NPI"":""7535485235""}]",12/11/2018,Catolé do Rocha
California Western School of Law,"[{""first_name"":""Fredrick"",""last_name"":""Hubbucke"",""NPI"":""3054037185""}]","[{""first_name"":""Cleveland"",""last_name"":""Novichenko"",""NPI"":""8524732202""},{""first_name"":""Meredith"",""last_name"":""McElwee"",""NPI"":""5538486591""},{""first_name"":""Janeen"",""last_name"":""Walhedd"",""NPI"":""1318022193""},{""first_name"":""Dina"",""last_name"":""Lebreton"",""NPI"":""1032173688""}]",8/8/2019,Tangban
University of Applied Sciences Solothurn Northwestern Switzerland,"[{""first_name"":""Lloyd"",""last_name"":""Prendeville"",""NPI"":""1721474927""}]","[{""first_name"":""Alphonso"",""last_name"":""Skellion"",""NPI"":""0722291973""},{""first_name"":""Cece"",""last_name"":""Pursey"",""NPI"":""8599195352""},{""first_name"":""Rivy"",""last_name"":""Clawson"",""NPI"":""2861511761""}]",2/10/2019,Kaiama
"Management Development Institute of Singapore, Tashkent","[{""first_name"":""Mack"",""last_name"":""Popeley"",""NPI"":""4151147268""}]","[{""first_name"":""Edie"",""last_name"":""Hidderley"",""NPI"":""4324613613""},{""first_name"":""Maribelle"",""last_name"":""Croall"",""NPI"":""4786901180""},{""first_name"":""Duff"",""last_name"":""Holyard"",""NPI"":""6169972033""},{""first_name"":""Avivah"",""last_name"":""Gligoraci"",""NPI"":""6297715769""},{""first_name"":""Graham"",""last_name"":""Bygrove"",""NPI"":""8410022966""}]",7/3/2019,Jiahe
West Virginia School of Osteopathic Medicine,"[{""first_name"":""Terrel"",""last_name"":""Glaum"",""NPI"":""2442162539""}]","[{""first_name"":""Andi"",""last_name"":""Diprose"",""NPI"":""6839638235""},{""first_name"":""Lauree"",""last_name"":""Halsho"",""NPI"":""2572783916""},{""first_name"":""Charmane"",""last_name"":""Fowler"",""NPI"":""1155276051""},{""first_name"":""Gun"",""last_name"":""Beardshaw"",""NPI"":""2599555183""}]",6/21/2019,Yuli
Notre Dame of Marbel University,"[{""first_name"":""Marshal"",""last_name"":""Martello"",""NPI"":""3195390361""}]","[{""first_name"":""Aurthur"",""last_name"":""Humburton"",""NPI"":""1893603520""},{""first_name"":""John"",""last_name"":""Scattergood"",""NPI"":""4727761386""},{""first_name"":""Valencia"",""last_name"":""Winchcum"",""NPI"":""3037443618""},{""first_name"":""Alec"",""last_name"":""Sollas"",""NPI"":""0544183649""}]",7/6/2019,Sua
University of Cagayan Valley,"[{""first_name"":""Ardenia"",""last_name"":""Kleimt"",""NPI"":""1016639112""}]","[{""first_name"":""Dody"",""last_name"":""Tie"",""NPI"":""0363157883""},{""first_name"":""Burnard"",""last_name"":""Plott"",""NPI"":""0198817665""},{""first_name"":""Kat"",""last_name"":""Caslake"",""NPI"":""5082488562""},{""first_name"":""Marti"",""last_name"":""Rogeron"",""NPI"":""1270474286""},{""first_name"":""Hurleigh"",""last_name"":""Lucock"",""NPI"":""7620893571""}]",11/2/2018,Kuningan
Ukrainian Academy of Banking,"[{""first_name"":""Glennis"",""last_name"":""Thornally"",""NPI"":""6163978005""}]","[{""first_name"":""Marinna"",""last_name"":""Duckerin"",""NPI"":""2209911303""},{""first_name"":""Yardley"",""last_name"":""Ownsworth"",""NPI"":""5458603362""},{""first_name"":""Bram"",""last_name"":""Degli Abbati"",""NPI"":""8515315831""},{""first_name"":""Gavin"",""last_name"":""Kerbey"",""NPI"":""9444803023""}]",4/5/2019,Biaoxi
Universidad de Atacama,"[{""first_name"":""Rici"",""last_name"":""Ayllett"",""NPI"":""8735980214""}]","[{""first_name"":""Daune"",""last_name"":""Strong"",""NPI"":""7803902359""},{""first_name"":""Binky"",""last_name"":""Friman"",""NPI"":""6000067615""},{""first_name"":""Bobbie"",""last_name"":""Dybald"",""NPI"":""8209242768""},{""first_name"":""Raynell"",""last_name"":""Morin"",""NPI"":""9106007465""}]",5/22/2019,Bariri
University of Nicosia,"[{""first_name"":""Seth"",""last_name"":""Phippin"",""NPI"":""7888350801""}]","[{""first_name"":""Patrizio"",""last_name"":""Durnall"",""NPI"":""0239419383""},{""first_name"":""Babette"",""last_name"":""Olive"",""NPI"":""1449269125""},{""first_name"":""Morganne"",""last_name"":""Dallison"",""NPI"":""7273621706""},{""first_name"":""Zolly"",""last_name"":""Bisterfeld"",""NPI"":""0835510794""},{""first_name"":""Bondy"",""last_name"":""Howes"",""NPI"":""4701556009""}]",3/26/2019,Porto de Mós
Universidad Técnica Estatal de Quevedo,"[{""first_name"":""Melinda"",""last_name"":""Bernakiewicz"",""NPI"":""2649292431""}]","[{""first_name"":""Filmore"",""last_name"":""Alexsandrowicz"",""NPI"":""4975961342""},{""first_name"":""Ferne"",""last_name"":""Marfield"",""NPI"":""3696044180""},{""first_name"":""Tommy"",""last_name"":""Gathercole"",""NPI"":""9587376919""}]",12/2/2018,Khondāb
"Institute of Advanced Legal Studies, University of London","[{""first_name"":""Bondy"",""last_name"":""Howes"",""NPI"":""4701556009""}]","[{""first_name"":""Fransisco"",""last_name"":""Fisbey"",""NPI"":""4003589343""},{""first_name"":""Chickie"",""last_name"":""Chivers"",""NPI"":""7366119644""},{""first_name"":""Ira"",""last_name"":""Marzelle"",""NPI"":""9595449903""},{""first_name"":""Margarethe"",""last_name"":""Arntzen"",""NPI"":""2999378874""}]",5/18/2019,Fangli
Merkur Internationale FH Karlsruhe,"[{""first_name"":""Filmore"",""last_name"":""Alexsandrowicz"",""NPI"":""4975961342""}]","[{""first_name"":""Linette"",""last_name"":""Icke"",""NPI"":""1598058509""},{""first_name"":""Carlene"",""last_name"":""Jonk"",""NPI"":""9759862204""},{""first_name"":""Petronille"",""last_name"":""Bahike"",""NPI"":""8786548263""}]",7/29/2019,Limoncito
Universidad Católica del Oriente,"[{""first_name"":""Maddy"",""last_name"":""Shearmur"",""NPI"":""5268831550""}]","[{""first_name"":""Duff"",""last_name"":""Holyard"",""NPI"":""6169972033""},{""first_name"":""Fraser"",""last_name"":""Andrioli"",""NPI"":8140640816},{""first_name"":""Richart"",""last_name"":""Voas"",""NPI"":""8117774542""}]",11/20/2018,Urayasu
Aichi Bunkyo University,"[{""first_name"":""Ilyse"",""last_name"":""Portress"",""NPI"":""2305031602""}]","[{""first_name"":""Burr"",""last_name"":""Suttaby"",""NPI"":""3653644135""},{""first_name"":""Saba"",""last_name"":""Newson"",""NPI"":""0761842233""},{""first_name"":""Dosi"",""last_name"":""Cobain"",""NPI"":""2339174686""},{""first_name"":""Marcellus"",""last_name"":""McGarrity"",""NPI"":""5499158770""}]",10/8/2019,Shanban
University of Health and Science,"[{""first_name"":""Gates"",""last_name"":""Van der Beken"",""NPI"":""4320089642""}]","[{""first_name"":""Chantalle"",""last_name"":""Obeney"",""NPI"":""3517223859""},{""first_name"":""Morrie"",""last_name"":""Grubbe"",""NPI"":""0204303192""},{""first_name"":""Massimo"",""last_name"":""Durban"",""NPI"":""9024129249""},{""first_name"":""Niels"",""last_name"":""Casellas"",""NPI"":""7061151757""},{""first_name"":""Hugh"",""last_name"":""Kingsman"",""NPI"":""3916157817""}]",2/7/2019,Jilili
Zagreb School of Economics and Management,"[{""first_name"":""Layne"",""last_name"":""Tremmel"",""NPI"":""3182668366""}]","[{""first_name"":""Celestine"",""last_name"":""Futty"",""NPI"":""2452628093""},{""first_name"":""Eirena"",""last_name"":""Caramuscia"",""NPI"":""8258849352""},{""first_name"":""Brade"",""last_name"":""MacMeekan"",""NPI"":""7008052871""},{""first_name"":""Simone"",""last_name"":""Bricksey"",""NPI"":""0921283857""}]",2/12/2019,Bautista
NAES College,"[{""first_name"":""Brade"",""last_name"":""MacMeekan"",""NPI"":""7008052871""}]","[{""first_name"":""Bartie"",""last_name"":""Greenhalgh"",""NPI"":""7535485235""},{""first_name"":""Colly"",""last_name"":""Caulcutt"",""NPI"":""4958201440""},{""first_name"":""Louise"",""last_name"":""Cudworth"",""NPI"":""5911112973""},{""first_name"":""Ernest"",""last_name"":""Gisborne"",""NPI"":""1164206443""},{""first_name"":""Eirena"",""last_name"":""Caramuscia"",""NPI"":""8258849352""}]",9/30/2019,Dongda
University of Wisconsin - Whitewater,"[{""first_name"":""Jamesy"",""last_name"":""White"",""NPI"":""3952117293""}]","[{""first_name"":""Christy"",""last_name"":""Aldine"",""NPI"":""8237497406""},{""first_name"":""Reade"",""last_name"":""Eddy"",""NPI"":""7803729053""},{""first_name"":""Terencio"",""last_name"":""Astell"",""NPI"":""6851194791""}]",1/30/2019,Prapen
Vesalius College,"[{""first_name"":""Cece"",""last_name"":""Pursey"",""NPI"":""8599195352""}]","[{""first_name"":""Harp"",""last_name"":""Valentinetti"",""NPI"":""8173170347""},{""first_name"":""Carlene"",""last_name"":""Kunzel"",""NPI"":""3412254525""},{""first_name"":""Leandra"",""last_name"":""Rubes"",""NPI"":""5900482332""},{""first_name"":""Dagmar"",""last_name"":""Giuroni"",""NPI"":""2385003090""}]",1/28/2019,Iguape
Vietnam National University Ho Chi Minh City,"[{""first_name"":""Dov"",""last_name"":""Dissman"",""NPI"":""3542962775""}]","[{""first_name"":""Cello"",""last_name"":""Snalom"",""NPI"":""5696756093""},{""first_name"":""Russ"",""last_name"":""Amos"",""NPI"":""8825429649""},{""first_name"":""Calley"",""last_name"":""Whicher"",""NPI"":""7562613214""}]",3/31/2019,Konotop
Pamukkale University,"[{""first_name"":""Zane"",""last_name"":""Kensett"",""NPI"":""5824909253""}]","[{""first_name"":""Diane"",""last_name"":""Maginn"",""NPI"":""9878050912""},{""first_name"":""Angelica"",""last_name"":""Ast"",""NPI"":""2210247446""},{""first_name"":""Daune"",""last_name"":""Strong"",""NPI"":""7803902359""}]",12/5/2018,Shangyuan
Otto-Friedrich Universität Bamberg,"[{""first_name"":""Rip"",""last_name"":""Brothwood"",""NPI"":""1300336978""}]","[{""first_name"":""Audra"",""last_name"":""Brookz"",""NPI"":""4757153597""},{""first_name"":""Miguela"",""last_name"":""Tressler"",""NPI"":""5391262070""},{""first_name"":""Rivalee"",""last_name"":""Cicconetti"",""NPI"":""8846736419""},{""first_name"":""Lauree"",""last_name"":""Saffer"",""NPI"":1283066823}]",10/18/2019,Sumberagung
Tula State University,"[{""first_name"":""Gavin"",""last_name"":""Kerbey"",""NPI"":""9444803023""}]","[{""first_name"":""Morley"",""last_name"":""Zimmer"",""NPI"":""3528589825""},{""first_name"":""Dorise"",""last_name"":""Dabourne"",""NPI"":""0134892658""},{""first_name"":""Petronille"",""last_name"":""Bahike"",""NPI"":""8786548263""},{""first_name"":""Sileas"",""last_name"":""Storks"",""NPI"":""6808451869""}]",10/23/2018,Ampasimanolotra
Koyasan University,"[{""first_name"":""Gwenore"",""last_name"":""Sheen"",""NPI"":""1837881685""}]","[{""first_name"":""Sarita"",""last_name"":""Farnill"",""NPI"":""3904531980""},{""first_name"":""Stella"",""last_name"":""Bartholin"",""NPI"":""5578502083""},{""first_name"":""Lurline"",""last_name"":""Sheerin"",""NPI"":""5084347303""}]",9/19/2019,Ageoshimo
Voronezh State Medical Academy,"[{""first_name"":""Dagny"",""last_name"":""Blenkinsop"",""NPI"":""3914514949""}]","[{""first_name"":""Arlie"",""last_name"":""Kezar"",""NPI"":""5336862274""},{""first_name"":""Tatum"",""last_name"":""Iacoboni"",""NPI"":""6860245182""},{""first_name"":""Torrie"",""last_name"":""Eppson"",""NPI"":""9528731074""}]",7/4/2019,Tashi
Tokyo University of Mercantile Marine,"[{""first_name"":""Chloette"",""last_name"":""Dureden"",""NPI"":""4054702856""}]","[{""first_name"":""Hubey"",""last_name"":""Hamflett"",""NPI"":""5553063949""},{""first_name"":""Cam"",""last_name"":""Riediger"",""NPI"":""3530163740""},{""first_name"":""Margy"",""last_name"":""Caitlin"",""NPI"":""6646117284""}]",10/31/2018,Rubiataba
Fukushima Medical College,"[{""first_name"":""Dolores"",""last_name"":""Shyres"",""NPI"":""1938984307""}]","[{""first_name"":""Dix"",""last_name"":""Janaszewski"",""NPI"":""1953564151""},{""first_name"":""Agnes"",""last_name"":""Terbeck"",""NPI"":""9588089719""},{""first_name"":""Debbi"",""last_name"":""Lushey"",""NPI"":""8896992702""},{""first_name"":""Bettye"",""last_name"":""Farenden"",""NPI"":""0053015207""},{""first_name"":""Tannie"",""last_name"":""Smalley"",""NPI"":""3989297139""}]",5/9/2019,Melaka
Siam University,"[{""first_name"":""Bethena"",""last_name"":""Swainston"",""NPI"":""1065893191""}]","[{""first_name"":""Irwin"",""last_name"":""Hymers"",""NPI"":""8392678311""},{""first_name"":""Page"",""last_name"":""Jentgens"",""NPI"":""1160768218""},{""first_name"":""Eugene"",""last_name"":""Coombes"",""NPI"":""3592115715""},{""first_name"":""Kaitlynn"",""last_name"":""Millwall"",""NPI"":""8244981873""}]",2/22/2019,Itacurubí del Rosario
John Marshall Law School,"[{""first_name"":""Kenyon"",""last_name"":""Fitzsymonds"",""NPI"":""9084964497""}]","[{""first_name"":""Ev"",""last_name"":""Haverson"",""NPI"":""1314186108""},{""first_name"":""Annalise"",""last_name"":""Mankor"",""NPI"":""7912721363""},{""first_name"":""Dodi"",""last_name"":""Greim"",""NPI"":""2624383247""},{""first_name"":""Reade"",""last_name"":""Eddy"",""NPI"":""7803729053""},{""first_name"":""Carlotta"",""last_name"":""Blazy"",""NPI"":""8349541881""}]",2/16/2019,Neebing
